Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-03,91.13274383544922,7.201329708099365,6.60825777053833,11.052184104919434,18.030515670776367,20.601825714111328,12.055174827575684,5.4780755043029785,20.350988388061523,11.12885856628418
2000-01-04,87.56892395019531,7.132006645202637,6.483870029449463,10.569036483764648,17.532379150390625,19.5566349029541,11.715710639953613,5.312829494476318,19.88918685913086,10.794069290161133
2000-01-05,87.7255859375,7.4266438484191895,6.6549072265625,10.485987663269043,17.454242706298828,19.26630210876465,11.922703742980957,5.446897506713867,19.710758209228516,10.661304473876953
2000-01-06,86.31570434570312,7.617292404174805,6.911461353302002,10.946497917175293,17.68865203857422,18.627574920654297,12.146252632141113,5.4375433921813965,19.77373695373535,10.782523155212402
2000-01-07,91.32852172851562,7.6129584312438965,6.985317230224609,11.127680778503418,18.36259651184082,18.952749252319336,12.91625690460205,5.484312057495117,20.01513671875,11.29047966003418
2000-01-10,91.64187622070312,7.586958885192871,6.927014350891113,10.931398391723633,18.36259651184082,19.67276382446289,12.626471519470215,5.503019332885742,22.061763763427734,11.23276138305664
2000-01-11,90.5452651977539,7.495972633361816,6.934784412384033,10.750215530395508,18.12818717956543,19.115337371826172,12.626471519470215,5.443778038024902,21.47403907775879,11.169257164001465
2000-01-12,89.64457702636719,7.387645244598389,6.903684616088867,10.961596488952637,17.913299560546875,19.034040451049805,12.692712783813477,5.3876566886901855,21.11716651916504,11.1057710647583
2000-01-13,90.85858917236328,7.417976379394531,7.024191379547119,11.2937650680542,18.255163192749023,19.20823860168457,12.758942604064941,5.337771415710449,21.74690055847168,11.163493156433105
2000-01-14,92.09225463867188,7.365985870361328,6.981433391571045,11.557995796203613,18.12818717956543,19.6495418548584,12.80034351348877,5.381422996520996,21.55799102783203,11.134626388549805
2000-01-18,91.36776733398438,7.188332557678223,7.066951274871826,11.172977447509766,18.108661651611328,19.754058837890625,12.585077285766602,5.359595775604248,21.15915298461914,11.071130752563477
2000-01-19,92.11180114746094,7.049676418304443,7.043628692626953,11.135231018066406,18.050064086914062,19.788902282714844,12.67615032196045,5.362713813781738,21.66293716430664,11.048048973083496
2000-01-20,90.70197296142578,6.863363742828369,7.043628692626953,10.931398391723633,17.93284034729004,19.9050350189209,12.502279281616211,5.3876566886901855,21.495006561279297,10.897968292236328
2000-01-21,90.50617980957031,6.893693923950195,7.237991809844971,10.79550552368164,17.70819091796875,19.928253173828125,12.361526489257812,5.562254905700684,21.45302391052246,10.672853469848633
2000-01-24,87.94096374511719,6.71170711517334,6.981433391571045,10.599226951599121,17.200294494628906,19.277912139892578,12.005501747131348,5.487431526184082,20.812801361083984,10.27457046508789
2000-01-25,88.93959045410156,6.586053371429443,6.965883255004883,10.712471008300781,17.102609634399414,19.690187454223633,11.856463432312012,5.359595775604248,20.959745407104492,10.338066101074219
2000-01-26,88.23468780517578,6.586053371429443,6.857039928436279,11.11257553100586,17.239364624023438,19.045656204223633,11.96409797668457,5.334654808044434,20.865272521972656,10.413095474243164
2000-01-27,87.88214111328125,6.62071418762207,6.717102527618408,11.233372688293457,17.337038040161133,18.85983657836914,12.187652587890625,5.300358295440674,20.73933219909668,10.384239196777344
2000-01-28,85.14080047607422,6.508060932159424,6.639361381530762,10.840805053710938,16.877973556518555,18.186275482177734,12.08829116821289,5.272294998168945,20.319499969482422,9.974409103393555
2000-01-31,87.45143127441406,6.469065189361572,6.794841766357422,11.142776489257812,16.99517059326172,18.790159225463867,12.311843872070312,5.515487194061279,20.225048065185547,10.049453735351562
2000-02-01,88.31300354003906,6.586053371429443,6.779298305511475,11.203174591064453,16.877973556518555,19.185009002685547,12.187652587890625,5.474954605102539,20.48744010925293,10.413095474243164
2000-02-02,88.3913345336914,6.616387367248535,6.822056293487549,11.08993148803711,16.88773536682129,19.324371337890625,12.212488174438477,5.446897506713867,20.99122428894043,10.343832969665527
2000-02-03,89.72285461425781,6.503729820251465,6.740425109863281,11.021993637084961,16.877973556518555,19.88180923461914,12.046897888183594,5.4375433921813965,21.180139541625977,10.384239196777344
2000-02-04,89.3508529663086,6.495061874389648,6.54606294631958,10.908747673034668,16.946331024169922,20.11406707763672,12.038616180419922,5.409483432769775,21.253618240356445,10.366923332214355
2000-02-07,89.21373748779297,6.369410991668701,6.61992073059082,10.79550552368164,16.653322219848633,20.34633445739746,12.022055625915527,5.393894195556641,20.907264709472656,10.147578239440918
2000-02-08,90.42779541015625,6.352076530456543,6.561612129211426,10.916300773620605,16.72169303894043,20.532146453857422,12.17109203338623,5.406363487243652,21.13817024230957,10.37846565246582
2000-02-09,88.52837371826172,6.226424217224121,6.343930721282959,10.659625053405762,16.545883178710938,20.276657104492188,12.063453674316406,5.406363487243652,20.76032257080078,10.205301284790039
2000-02-10,88.70466613769531,6.174427509307861,6.476095199584961,10.365204811096191,16.26262664794922,20.758602142333984,11.657750129699707,5.32841682434082,20.58188819885254,10.112940788269043
2000-02-11,86.90316009521484,6.022775650024414,6.398351192474365,10.38785171508789,15.920756340026855,20.20697593688965,11.434196472167969,5.2348809242248535,20.592384338378906,9.968642234802246
2000-02-14,87.4122314453125,6.122432231903076,6.499417781829834,10.478438377380371,16.17472267150879,20.21858024597168,11.492161750793457,5.241117000579834,20.214548110961914,10.020590782165527
2000-02-15,88.4011001586914,6.386739253997803,6.771526336669922,10.49354076385498,16.457969665527344,20.276657104492188,11.74882984161377,5.228647232055664,20.057117462158203,10.043675422668457
2000-02-16,87.0989761352539,6.2394208908081055,6.802623271942139,10.27461051940918,16.418907165527344,20.172136306762695,11.583239555358887,5.206823825836182,19.490346908569336,9.651164054870605
2000-02-17,86.64852905273438,6.226424217224121,6.794841766357422,10.146270751953125,16.487274169921875,20.625049591064453,11.409368515014648,5.175642490386963,19.479862213134766,9.374101638793945
2000-02-18,84.78833770751953,6.035773754119873,6.596600532531738,9.783903121948242,16.12588882446289,19.928253173828125,11.276891708374023,4.98545503616333,18.944581985473633,9.235563278198242
2000-02-22,84.57290649414062,6.226424217224121,6.538288116455078,9.874494552612305,16.389610290527344,19.88180923461914,11.459039688110352,4.966747760772705,18.808141708374023,9.25865364074707
2000-02-23,85.57158660888672,6.1570963859558105,6.367254734039307,9.836750030517578,16.26262664794922,20.485685348510742,11.210650444030762,4.863857746124268,19.102008819580078,9.229795455932617
2000-02-24,83.84840393066406,5.936116695404053,6.29728364944458,9.632917404174805,16.116121292114258,20.741182327270508,10.978821754455566,4.701725959777832,18.955076217651367,8.935412406921387
2000-02-25,83.54486846923828,5.840789794921875,6.172891616821289,9.572521209716797,15.832864761352539,20.543758392333984,10.705594062805176,4.676785469055176,18.367321014404297,8.970046043395996
2000-02-28,85.29742431640625,5.858121395111084,6.359478950500488,9.882040023803711,15.881696701049805,20.29987907409668,10.91258716583252,4.810854911804199,18.69268798828125,9.293289184570312
2000-02-29,86.1198959350586,5.819127559661865,6.507191181182861,9.949986457824707,16.057512283325195,20.764406204223633,10.871185302734375,4.845150947570801,18.90260124206543,9.489546775817871
2000-03-01,86.74649047851562,5.7584662437438965,6.670454025268555,10.085878372192383,15.969610214233398,20.973438262939453,10.771828651428223,5.057165145874023,19.060033798217773,9.379870414733887
2000-03-02,86.8051986694336,5.632808685302734,6.794841766357422,10.025483131408691,16.0282039642334,21.18248176574707,10.796674728393555,5.188112258911133,18.976076126098633,9.368326187133789
2000-03-03,88.43047332763672,5.814794540405273,6.686005115509033,10.116073608398438,16.467742919921875,21.768951416015625,10.73870849609375,5.2348809242248535,19.238454818725586,9.541495323181152
2000-03-06,87.56892395019531,5.676137924194336,6.647131443023682,10.017930030822754,16.399372100830078,21.734100341796875,10.482038497924805,5.088341236114502,18.860614776611328,9.316377639770508
2000-03-07,85.87506866455078,5.494156837463379,7.105820655822754,9.715959548950195,15.744949340820312,21.13602638244629,9.919027328491211,5.029104232788086,18.514263153076172,9.056626319885254
2000-03-08,85.76736450195312,5.611146450042725,6.989205360412598,9.60272216796875,15.91099739074707,21.507654190063477,10.225373268127441,5.063399314880371,18.419801712036133,9.166295051574707
2000-03-09,88.27384185791016,5.602482318878174,6.996981143951416,9.65556812286377,16.07704734802246,22.157987594604492,10.498600959777832,5.1039347648620605,18.850120544433594,9.3510103225708
2000-03-10,87.80384826660156,5.650142669677734,6.903684616088867,9.685762405395508,16.116121292114258,22.204437255859375,10.374405860900879,5.1039347648620605,18.69268798828125,9.224019050598145
2000-03-13,86.84436798095703,5.7367987632751465,6.802623271942139,9.783903121948242,15.871927261352539,21.879276275634766,10.208813667297363,5.119521617889404,18.556243896484375,9.148977279663086
2000-03-14,85.61074829101562,5.637142658233643,6.888137340545654,9.746155738830566,15.784029960632324,21.379905700683594,10.150861740112305,5.085225582122803,18.608720779418945,9.166295051574707
2000-03-15,87.60807800292969,5.9751105308532715,6.857039928436279,10.342552185058594,16.418907165527344,21.008289337158203,10.796674728393555,5.113285541534424,18.703187942504883,9.720428466796875
2000-03-16,91.70059967041016,6.326077461242676,7.152467250823975,11.233372688293457,17.307727813720703,21.73990249633789,11.26032543182373,5.312829494476318,19.668777465820312,10.436187744140625
2000-03-17,92.30667877197266,6.115244388580322,6.9346160888671875,11.236708641052246,17.284709930419922,22.250898361206055,11.213418006896973,5.355574607849121,19.689767837524414,10.462328910827637
2000-03-20,91.83553314208984,6.189077377319336,6.825414180755615,11.024551391601562,17.382593154907227,22.157987594604492,11.113739013671875,5.333585262298584,20.067611694335938,10.364013671875
2000-03-21,93.72013854980469,6.262909412384033,7.043822765350342,11.426130294799805,17.75450897216797,22.738656997680664,11.321395874023438,5.299034118652344,20.19355583190918,10.479681015014648
2000-03-22,94.28946685791016,6.102212429046631,6.989221096038818,11.524625778198242,17.67621421813965,23.13349723815918,11.23002815246582,5.17653226852417,20.707843780517578,10.433411598205566
2000-03-23,95.89921569824219,6.288969993591309,6.981420516967773,11.926212310791016,18.087289810180664,23.574804306030273,11.13865852355957,5.264481544494629,20.791810989379883,10.462328910827637
2000-03-24,96.4684829711914,6.258569240570068,6.9970221519470215,12.062597274780273,18.194948196411133,23.778030395507812,10.939310073852539,5.214222431182861,20.97022819519043,10.497031211853027
2000-03-27,95.44768524169922,6.232507705688477,7.02042293548584,11.668591499328613,17.96982765197754,23.969648361206055,10.798104286193848,5.286469459533691,20.82329559326172,10.468111991882324
